,Unnamed: 0,index,State,Pharmacy Name,Street Address 1 (physical store address),Street Address 2,City,Zip,Borough,county,location_lat,location_long,Location
14,14,14,Alaska,CVS/PHARMACY #17435,1200 N Muldoon Rd,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,61.23079111989170,-149.7425594710110,"1200 N Muldoon Rd, ANCHORAGE, Alaska, 99504"
15,15,15,Alaska,WALGREENS #12679,7600 DEBARR RD,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,61.20964138189730,-149.74307060470900,"7600 DEBARR RD, ANCHORAGE, Alaska, 99504"
16,16,16,Alaska,CARRS PHARMACY #1817,7731 E Northern Lights Blvd,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,61.196179,-149.7345556,"7731 E Northern Lights Blvd, ANCHORAGE, Alaska, 99504"
17,17,17,Alaska,CARRS PHARMACY #1809,5600 Debarr Rd,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,61.208219100000000,-149.77710520103400,"5600 Debarr Rd, ANCHORAGE, Alaska, 99504"
18,18,18,Alaska,WALMART PHARMACY #10-4359,7405 Debarr Rd,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,61.2124737,-149.7432257,"7405 Debarr Rd, ANCHORAGE, Alaska, 99504"
19,19,19,Alaska,GREAT LAND INFUSION PHARMACY,2421 E TUDOR 107,,ANCHORAGE,99507,Anchorage Borough,Anchorage Municipality,,,"2421 E TUDOR 107, ANCHORAGE, Alaska, 99507"
20,20,20,Alaska,FRED MEYER #656,2300 Abbott Rd Anchorage,,ANCHORAGE,99507,Anchorage Borough,Anchorage Municipality,61.13744,-149.837601,"2300 Abbott Rd Anchorage, ANCHORAGE, Alaska, 99507"
21,21,21,Alaska,CARRS PHARMACY #2628,1725 Abbott Rd,,ANCHORAGE,99507,Anchorage Borough,Anchorage Municipality,61.142278150000000,-149.8438075117240,"1725 Abbott Rd, ANCHORAGE, Alaska, 99507"
22,22,22,Alaska,WALGREENS #15654,2550 E. 88TH AVENUE,,ANCHORAGE,99507,Anchorage Borough,Anchorage Municipality,61.14104986406230,-149.83523248104900,"2550 E. 88TH AVENUE, ANCHORAGE, Alaska, 99507"
23,23,23,Alaska,COSTCO PHARMACY #63,4125 Debarr Road,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.2111305,-149.8044562,"4125 Debarr Road, ANCHORAGE, Alaska, 99508"
24,24,24,Alaska,PROVIDENCE ALASKA MEDICAL CENTER INPATIENT PHARMACY,3200 PROVIDENCE DRIVE,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.18841865,-149.82059674184700,"3200 PROVIDENCE DRIVE, ANCHORAGE, Alaska, 99508"
25,25,25,Alaska,WALGREENS #15653,4353 LAKE OTIS PARKWAY,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.1817554748851,-149.83802384240900,"4353 LAKE OTIS PARKWAY, ANCHORAGE, Alaska, 99508"
26,26,26,Alaska,FRED MEYER #000158,1000 E Northern Lights Blvd,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.19520000502510,-149.86418031658300,"1000 E Northern Lights Blvd, ANCHORAGE, Alaska, 99508"
27,27,27,Alaska,CARRS PHARMACY #0520,3101 Penland Pkwy,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.215829050000000,-149.81700165,"3101 Penland Pkwy, ANCHORAGE, Alaska, 99508"
28,28,28,Alaska,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER ST,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.186512,-149.827425,"3700 PIPER ST, ANCHORAGE, Alaska, 99508"
29,29,29,Alaska,IVY HOME INFUSIONS LLC,2841 DEBARR RD,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.209796604838500,-149.8287759967440,"2841 DEBARR RD, ANCHORAGE, Alaska, 99508"
30,30,30,Alaska,ALASKA REGIONAL PHARMACY,2801 DEBARR ROAD,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.21045645,-149.8286313242080,"2801 DEBARR ROAD, ANCHORAGE, Alaska, 99508"
31,31,31,Alaska,BERNIES PHARMACY,4100 LAKE OTIS PKWY,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.183518947578900,-149.83837632796000,"4100 LAKE OTIS PKWY, ANCHORAGE, Alaska, 99508"
32,32,32,Alaska,FRED MEYER #00011,1000 E Northern Lights Blvd,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.19520000502510,-149.86418031658300,"1000 E Northern Lights Blvd, ANCHORAGE, Alaska, 99508"
33,33,33,Alaska,NORTH STAR BEHAVIORAL HEALTH BRAGAW CAMPUS,1650 BRAGAW ST,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.20561885,-149.80942786364600,"1650 BRAGAW ST, ANCHORAGE, Alaska, 99508"
34,34,34,Alaska,"NORTH STAR HOSPITAL PHARMACY, DEBARR CIRCLE",1500 DEBARR CIRCLE,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.209466,-149.83097,"1500 DEBARR CIRCLE, ANCHORAGE, Alaska, 99508"
35,35,35,Alaska,NORTH STAR HOSPITAL PHARMACY,2530 DE BARR ROAD,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,,,"2530 DE BARR ROAD, ANCHORAGE, Alaska, 99508"
36,36,36,Alaska,Credena Health Pharmacy Anchorage,3300 PROVIDENCE DR,,ANCHORAGE,99508,Anchorage Borough,Anchorage Municipality,61.1894607,-149.8195054,"3300 PROVIDENCE DR, ANCHORAGE, Alaska, 99508"
37,37,37,Alaska,WALGREENS #13449,12405 BRANDON ST,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.108234625942100,-149.85620185054800,"12405 BRANDON ST, ANCHORAGE, Alaska, 99515"
38,38,38,Alaska,COSTCO PHARMACY #10,330 DIMOND BLVD,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.14431245,-149.88154857499000,"330 DIMOND BLVD, ANCHORAGE, Alaska, 99515"
39,39,39,Alaska,FRED MEYER #00071,2000 W DIMOND BLVD,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.1362816,-149.91978,"2000 W DIMOND BLVD, ANCHORAGE, Alaska, 99515"
40,40,40,Alaska,CVS/PHARMACY #17436,150 W 100TH AVE,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.129052,-149.8809485,"150 W 100TH AVE, ANCHORAGE, Alaska, 99515"
41,41,41,Alaska,CARRS PHARMACY #1813,1501 Huffman Rd,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.11025005,-149.8572646,"1501 Huffman Rd, ANCHORAGE, Alaska, 99515"
42,42,42,Alaska,WALGREENS #12680,2197 W DIMOND BLVD,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.137564313494700,-149.9199888088130,"2197 W DIMOND BLVD, ANCHORAGE, Alaska, 99515"
43,43,43,Alaska,Walmart Pharmacy 10-2071,8900 Old Seward Hwy,,ANCHORAGE,99515,Anchorage Borough,Anchorage Municipality,61.1404435,-149.8711377,"8900 Old Seward Hwy, ANCHORAGE, Alaska, 99515"
44,44,44,Alaska,CARRS PHARMACY #1805,1650 W NORTHERNLIGHTS BLVD,,ANCHORAGE,99517,Anchorage Borough,Anchorage Municipality,,,"1650 W NORTHERNLIGHTS BLVD, ANCHORAGE, Alaska, 99517"
45,45,45,Alaska,GENEVA WOODS PHARMACY,501 W International Airport Rd,,ANCHORAGE,99518,Anchorage Borough,Anchorage Municipality,61.17371433985210,-149.89238091510600,"501 W International Airport Rd, ANCHORAGE, Alaska, 99518"
46,46,46,Alaska,CARDINAL HEALTH,5360 SILVERADO WAY,,ANCHORAGE,99518,Anchorage Borough,Anchorage Municipality,61.1692874,-149.8886338,"5360 SILVERADO WAY, ANCHORAGE, Alaska, 99518"
47,47,47,Alaska,WALGREENS #15362,12051 OLD GLENN HWY,,EAGLE RIVER,99577,Anchorage Borough,Anchorage Municipality,61.32981539360090,-149.56754118135300,"12051 OLD GLENN HWY, EAGLE RIVER, Alaska, 99577"
48,48,48,Alaska,FAMILY PHARMACY,11432 BUSINESS BLVD,,EAGLE RIVER,99577,Anchorage Borough,Anchorage Municipality,61.32354076992000,-149.5732940019380,"11432 BUSINESS BLVD, EAGLE RIVER, Alaska, 99577"
49,49,49,Alaska,FRED MEYER #668,13401 Old Glenn Hwy,,EAGLE RIVER,99577,Anchorage Borough,Anchorage Municipality,61.3412997,-149.55560192492800,"13401 Old Glenn Hwy, EAGLE RIVER, Alaska, 99577"
50,50,50,Alaska,CARRS PHARMACY #1807,11431 Business Blvd,,EAGLE RIVER,99577,Anchorage Borough,Anchorage Municipality,61.323706,-149.574481,"11431 Business Blvd, EAGLE RIVER, Alaska, 99577"
51,51,51,Alaska,WAL-MART PHARMACY 10-2188,18600 EAGLE RIVER ROAD,,EAGLE RIVER,99577,Anchorage Borough,Anchorage Municipality,61.3090829,-149.53554484777800,"18600 EAGLE RIVER ROAD, EAGLE RIVER, Alaska, 99577"
52,52,52,Alaska,WHALE TAIL PHARMACY,333 Cold Storage Rd,,CRAIG,99921,Craig Borough,Prince of Wales-Hyder Census Area,55.47786684395900,-133.14041145285900,"333 Cold Storage Rd, CRAIG, Alaska, 99921"
53,53,53,Alaska,KANAKANAK HOSPITAL PHARMACY,6000 Kanakanak Rd,,DILLINGHAM,99576,Dillingham Census Area,Dillingham Census Area,59.00059275,-158.53654951755500,"6000 Kanakanak Rd, DILLINGHAM, Alaska, 99576"
54,54,54,Alaska,MEDICAL CENTER PHARMACY,1867 AIRPORT WAY,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.83668672477150,-147.75820088413400,"1867 AIRPORT WAY, FAIRBANKS, Alaska, 99701"
55,55,55,Alaska,FRED MEYER #224,930 OLD STEESE HWY,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.85467865,-147.69034397106500,"930 OLD STEESE HWY, FAIRBANKS, Alaska, 99701"
56,56,56,Alaska,SAFEWAY PHARMACY #2754,3627 Airport Way,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.8356771,-147.80818867209800,"3627 Airport Way, FAIRBANKS, Alaska, 99701"
57,57,57,Alaska,CHIEF ANDREW ISAAC HEALTH CENTER PHARMACY,1717 WEST COWLES STREET,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.83190751136710,-147.7443115878750,"1717 WEST COWLES STREET, FAIRBANKS, Alaska, 99701"
58,58,58,Alaska,WALGREENS #15944,530 OLD STEESE HWY,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.850274,-147.697278,"530 OLD STEESE HWY, FAIRBANKS, Alaska, 99701"
59,59,59,Alaska,SAFEWAY PHARMACY #3410,30 College Rd,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.85173435,-147.7009677393060,"30 College Rd, FAIRBANKS, Alaska, 99701"
60,60,60,Alaska,FAIRBANKS MEMORIAL HOSPITAL PHARMACY,INPATIENT PHARMACY-FMH / 1650 COWLES ST,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,,,"INPATIENT PHARMACY-FMH / 1650 COWLES ST, FAIRBANKS, Alaska, 99701"
61,61,61,Alaska,DENALI PHARMACY,1650 COWLES ST,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.83173225,-147.7402732108770,"1650 COWLES ST, FAIRBANKS, Alaska, 99701"
62,62,62,Alaska,Costco Pharmacy #1342,48 COLLEGE RD,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.8530351,-147.706950289149,"48 COLLEGE RD, FAIRBANKS, Alaska, 99701"
63,63,63,Alaska,WAL-MART PHARMACY 10-2722,537 Johansen Expressway,,FAIRBANKS,99701,Fairbanks North Star Borough,Fairbanks North Star Borough,64.8564744,-147.6897416634190,"537 Johansen Expressway, FAIRBANKS, Alaska, 99701"
64,64,64,Alaska,SAFEWAY PHARMACY #1821,301 N Santa Claus Ln,,NORTH POLE,99705,Fairbanks North Star Borough,Fairbanks North Star Borough,64.7575308,-147.3542560438550,"301 N Santa Claus Ln, NORTH POLE, Alaska, 99705"
65,65,65,Alaska,ALASKA FAMILY PHARMACY,167 SANTA CLAUS LANE,,NORTH POLE,99705,Fairbanks North Star Borough,Fairbanks North Star Borough,,,"167 SANTA CLAUS LANE, NORTH POLE, Alaska, 99705"
66,66,66,Alaska,ALASKA FAMILY PHARMACY,167 SANTA CLAUS LANE,,NORTH POLE,99705,Fairbanks North Star Borough,Fairbanks North Star Borough,,,"167 SANTA CLAUS LANE, NORTH POLE, Alaska, 99705"
67,67,67,Alaska,ALASKA FAMILY PHARMACY,167 SANTA CLAUS LANE,,NORTH POLE,99705,Fairbanks North Star Borough,Fairbanks North Star Borough,,,"167 SANTA CLAUS LANE, NORTH POLE, Alaska, 99705"
68,68,68,Alaska,FRED MEYER #00485,3755 Airport Way,,FAIRBANKS,99709,Fairbanks North Star Borough,Fairbanks North Star Borough,64.8366877622881,-147.81343669192100,"3755 Airport Way, FAIRBANKS, Alaska, 99709"
69,69,69,Alaska,SEARHC HAINES MEDICAL CLINIC PHARMACY,131 1ST AVE S,,HAINES,99827,Haines Borough,Haines Borough,,,"131 1ST AVE S, HAINES, Alaska, 99827"
70,70,70,Alaska,INLET PHARMACY,1313 EAST MAPLE STREET,,BELLINGHAM,98225,Hoonah-Angoon Borough,Whatcom County,,,"1313 EAST MAPLE STREET, BELLINGHAM, Alaska, 98225"
71,71,71,Alaska,SEARHC JUNEAU MEDICAL CENTER PHARMACY,3100 CHANNEL DR.,,JUNEAU,99801,Juneau Borough,Juneau City and Borough,58.32743359073300,-134.46847953827400,"3100 CHANNEL DR., JUNEAU, Alaska, 99801"
72,72,72,Alaska,BARTLETT REGIONAL HOSPITAL PHARMACY,3260 HOSPITAL DR,,JUNEAU,99801,Juneau Borough,Juneau City and Borough,58.329258950000000,-134.46498295128200,"3260 HOSPITAL DR, JUNEAU, Alaska, 99801"
73,73,73,Alaska,FOODLAND PHARMACY,615 W. WILLOUGHBY AVE,,JUNEAU,99801,Juneau Borough,Juneau City and Borough,58.2997192,-134.4182598,"615 W. WILLOUGHBY AVE, JUNEAU, Alaska, 99801"
74,74,74,Alaska,COSTCO PHARMACY #107,5225 COMMERCIAL BLVD,,JUNEAU,99801,Juneau Borough,Juneau City and Borough,58.357870042632500,-134.4829610245620,"5225 COMMERCIAL BLVD, JUNEAU, Alaska, 99801"
75,75,75,Alaska,JUNEAU DRUG COMPANY,202 FRONT ST,,JUNEAU,99801,Juneau Borough,Juneau City and Borough,58.30068811111110,-134.4069497222220,"202 FRONT ST, JUNEAU, Alaska, 99801"
76,76,76,Alaska,SAFEWAY PHARMACY #1820,3033 Vintage Blvd,,JUNEAU,99801,Juneau Borough,Juneau City and Borough,58.37103905,-134.59494751777500,"3033 Vintage Blvd, JUNEAU, Alaska, 99801"
77,77,77,Alaska,RON'S APOTHECARY SHOPPE,9101 MENDENHALL MALL RD,,JUNEAU,99803,Juneau Borough,City and Borough of Juneau,,,"9101 MENDENHALL MALL RD, JUNEAU, Alaska, 99803"
78,78,78,Alaska,SOUTH PENINSULA HOSPITAL,4300 BARTLETT STREET,,HOMER,99603,Kenai Peninsula Borough,Kenai Peninsula Borough,59.65246045,-151.55007250373000,"4300 BARTLETT STREET, HOMER, Alaska, 99603"
79,79,79,Alaska,ULMER'S DRUG & HARDWARE,3858 LAKE ST.,,HOMER,99603,Kenai Peninsula Borough,Kenai Peninsula Borough,59.645093085769800,-151.52515693950600,"3858 LAKE ST., HOMER, Alaska, 99603"
80,80,80,Alaska,SCOTTS FAMILY PHARMACY HEALTH AND NUTRITION,4014 LAKE STREET,,HOMER,99603,Kenai Peninsula Borough,Kenai Peninsula Borough,59.64864705,-151.52711706347300,"4014 LAKE STREET, HOMER, Alaska, 99603"
81,81,81,Alaska,SAFEWAY PHARMACY #1832,90 Sterling Hwy,,HOMER,99603,Kenai Peninsula Borough,Kenai Peninsula Borough,59.6433422,-151.53417531795600,"90 Sterling Hwy, HOMER, Alaska, 99603"
82,82,82,Alaska,SAFEWAY PHARMACY #1808,10576 Kenai Spur Hwy,,KENAI,99611,Kenai Peninsula Borough,Kenai Peninsula Borough,60.56022215,-151.24094354498700,"10576 Kenai Spur Hwy, KENAI, Alaska, 99611"
83,83,83,Alaska,WAL-MART PHARMACY 10-4474,10096 KENAI SPUR HWY,,KENAI,99611,Kenai Peninsula Borough,Kenai Peninsula Borough,60.56408715,-151.22496566648700,"10096 KENAI SPUR HWY, KENAI, Alaska, 99611"
84,84,84,Alaska,NORTH STAR HEALTH CLINIC PHARMACY,201 3rd Ave Ste 201,,SEWARD,99664,Kenai Peninsula Borough,Kenai Peninsula Borough,,,"201 3rd Ave Ste 201, SEWARD, Alaska, 99664"
85,85,85,Alaska,SAFEWAY PHARMACY #2728,1907 Seward Hwy,,SEWARD,99664,Kenai Peninsula Borough,Kenai Peninsula Borough,60.126001100000000,-149.436570028755,"1907 Seward Hwy, SEWARD, Alaska, 99664"
86,86,86,Alaska,CENTRAL PENINSULA HOSPITAL PHARMACY,250 HOSPITAL PLACE,,SOLDOTNA,99669,Kenai Peninsula Borough,Kenai Peninsula Borough,60.49352565,-151.07850281621700,"250 HOSPITAL PLACE, SOLDOTNA, Alaska, 99669"
87,87,87,Alaska,"PROFESSIONAL HOME I.V., INC",182 S BIRCH STREET,,SOLDOTNA,99669,Kenai Peninsula Borough,Kenai Peninsula Borough,60.48466095331790,-151.06478030621100,"182 S BIRCH STREET, SOLDOTNA, Alaska, 99669"
88,88,88,Alaska,WALGREENS #16059,44001 STERLING HWY,,SOLDOTNA,99669,Kenai Peninsula Borough,Kenai Peninsula Borough,60.4905236,-151.0514435,"44001 STERLING HWY, SOLDOTNA, Alaska, 99669"
89,89,89,Alaska,FRED MEYER #00017,43843 Sterling Hwy,,SOLDOTNA,99669,Kenai Peninsula Borough,Kenai Peninsula Borough,60.4893652,-151.0488798865970,"43843 Sterling Hwy, SOLDOTNA, Alaska, 99669"
90,90,90,Alaska,SOLDOTNA PROFESSIONAL PHARMACY,299 N. BINKLEY,,SOLDOTNA,99669,Kenai Peninsula Borough,Kenai Peninsula Borough,,,"299 N. BINKLEY, SOLDOTNA, Alaska, 99669"
91,91,91,Alaska,ALPINE APOTHECARY,299 N. BINKLEY,,SOLDOTNA,99669,Kenai Peninsula Borough,Kenai Peninsula Borough,,,"299 N. BINKLEY, SOLDOTNA, Alaska, 99669"
92,92,92,Alaska,K I C TRIBAL HEALTH CLINIC,2960 TONGASS AVE,,KETCHIKAN,99901,Ketchikan Borough,Ketchikan Gateway Borough,55.35203722356710,-131.6830778193010,"2960 TONGASS AVE, KETCHIKAN, Alaska, 99901"
93,93,93,Alaska,ISLAND PHARMACY INC.,3526 TONGASS AVENUE,,KETCHIKAN,99901,Ketchikan Borough,Ketchikan Gateway Borough,55.35596,-131.69235,"3526 TONGASS AVENUE, KETCHIKAN, Alaska, 99901"
94,94,94,Alaska,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVE,,KETCHIKAN,99901,Ketchikan Borough,Ketchikan Gateway Borough,55.3535231,-131.68702157090500,"3100 TONGASS AVE, KETCHIKAN, Alaska, 99901"
95,95,95,Alaska,SAFEWAY PHARMACY #1818,2417 Tongass Ave,,KETCHIKAN,99901,Ketchikan Borough,Ketchikan Gateway Borough,55.34832565,-131.6735028459530,"2417 Tongass Ave, KETCHIKAN, Alaska, 99901"
96,96,96,Alaska,WAL-MART PHARMACY 10-2710,4230 DON KING RD,,KETCHIKAN,99901,Ketchikan Borough,Ketchikan Gateway Borough,55.37550855,-131.72040306722600,"4230 DON KING RD, KETCHIKAN, Alaska, 99901"
97,97,97,Alaska,PROVIDENCE KODIAK ISLAND MEDICAL CENTER,1915 E REZANOF DRIVE,,KODIAK,99615,Kodiac Island Borough,Kodiak Island Borough,57.80108120494190,-152.37379130794900,"1915 E REZANOF DRIVE, KODIAK, Alaska, 99615"
98,98,98,Alaska,KANA PHARMACY,3449 E REZANOF DRIVE,,KODIAK,99615,Kodiac Island Borough,Kodiak Island Borough,57.81220260655740,-152.35431518032800,"3449 E REZANOF DRIVE, KODIAK, Alaska, 99615"
99,99,99,Alaska,SAFEWAY PHARMACY #1090,2685 Mill Bay Rd,,KODIAK,99615,Kodiac Island Borough,Kodiak Island Borough,57.8107849,-152.3675845517320,"2685 Mill Bay Rd, KODIAK, Alaska, 99615"
100,100,100,Alaska,PROVIDENCE KODIAK IS MEDICAL CENTER,1915 E. REZANOF DRIVE,,KODIAK,99615,Kodiac Island Borough,Kodiak Island Borough,57.80108120494190,-152.37379130794900,"1915 E. REZANOF DRIVE, KODIAK, Alaska, 99615"
101,101,101,Alaska,WAL-MART PHARMACY 10-2711,2911 MILL BAT RD,,KODIAK,99615,Kodiac Island Borough,Kodiak Island Borough,,,"2911 MILL BAT RD, KODIAK, Alaska, 99615"
102,102,102,Alaska,WAL-MART PHARMACY 10-2074,1350 S Seward Meridian Pkwy,,WASILLA,99564,Lake and Peninsula Borough,Lake and Peninsula Borough,61.56868204455950,-149.36034515622600,"1350 S Seward Meridian Pkwy, WASILLA, Alaska, 99564"
103,103,103,Alaska,THREE BEARS PHARMACY #60,7362 W PARKS HWY,,WASILLA,99623,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.5821988,-149.5334591,"7362 W PARKS HWY, WASILLA, Alaska, 99623"
104,104,104,Alaska,THREE BEARS PHARMACY #85,3950 S KNIK-GOOSE BAY ROAD,,WASILLA,99623,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.5366517,-149.5813567,"3950 S KNIK-GOOSE BAY ROAD, WASILLA, Alaska, 99623"
105,105,105,Alaska,THREE BEARS PHARMACY #50,7362 W. PARKS HYW,,WASILLA,99623,Matanuska-Susitna Borough,Matanuska-Susitna Borough,,,"7362 W. PARKS HYW, WASILLA, Alaska, 99623"
106,106,106,Alaska,MAT-SU MEDICAL CENTER CLINICAL PHARMACY,2500 S WOODWORTH LP,,PALMER,99645,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.5627638,-149.2578912431360,"2500 S WOODWORTH LP, PALMER, Alaska, 99645"
107,107,107,Alaska,CARRS PHARMACY #1739,664 W Evergreen Ave,,PALMER,99645,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.59794815,-149.1270737914200,"664 W Evergreen Ave, PALMER, Alaska, 99645"
108,108,108,Alaska,FRED MEYER PHARMACY #649,535 W Evergreen Ave,,PALMER,99645,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.6007056,-149.12530630956700,"535 W Evergreen Ave, PALMER, Alaska, 99645"
109,109,109,Alaska,Geneva Woods Mat-Su Pharmacy,3674 E Country Field Cir,,WASILLA,99654,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.5890709,-149.357993,"3674 E Country Field Cir, WASILLA, Alaska, 99654"
110,110,110,Alaska,WALGREENS #12681,1721 E. PARKS HWY,,WASILLA,99654,Matanuska-Susitna Borough,Matanuska-Susitna Borough,61.57681002598040,-149.40847282345100,"1721 E. PARKS HWY, WASILLA, Alaska, 99654"
111,111,111,Alaska,CARRS PHARMACY #1811,595 E Parks Hwy Ste 3000,,WASILLA,99654,Matanuska-Susitna Borough,Matanuska-Susitna Borough,,,"595 E Parks Hwy Ste 3000, WASILLA, Alaska, 99654"
112,112,112,Alaska,Our Doctor's Pharmacy,3190 E MERIDIAN PARK LOOP,,WASILLA,99654,Matanuska-Susitna Borough,Matanuska-Susitna Borough,,,"3190 E MERIDIAN PARK LOOP, WASILLA, Alaska, 99654"
113,113,113,Alaska,FRED MEYER #00653,1501 EAST PARKS DRIVE,,WASILLA,99659,Nome Census Area,Nome Census Area,,,"1501 EAST PARKS DRIVE, WASILLA, Alaska, 99659"
114,114,114,Alaska,Anikkan Inuit Iluaqutaat Subregional Pharmacy,189 Happy Valley Rd,,UNALAKLEET,99684,Nome Census Area,Nome Census Area,,,"189 Happy Valley Rd, UNALAKLEET, Alaska, 99684"
